FECHA,ITEM,PRECIO,DATE_TIME
15/05/2022,RTX 3080,189432,2022/05/15 22:17:28
15/05/2022,RTX 3080,189432,2022/05/15 23:17:41
16/05/2022,RTX 3080,189432,2022/05/16 01:26:08
16/05/2022,RTX 3080,189432,2022/05/16 02:26:10
16/05/2022,RTX 3080,189432,2022/05/16 03:26:11
16/05/2022,RTX 3080,189432,2022/05/16 04:26:17
16/05/2022,RTX 3080,189432,2022/05/16 05:26:17
16/05/2022,RTX 3080,189432,2022/05/16 06:26:22
16/05/2022,RTX 3080,189432,2022/05/16 07:26:38
16/05/2022,RTX 3080,189432,2022/05/16 08:26:52
16/05/2022,RTX 3080,189432,2022/05/16 09:27:08
16/05/2022,RTX 3080,189432,2022/05/16 10:27:29
16/05/2022,RTX 3080,189432,2022/05/16 11:27:36
16/05/2022,RTX 3080,189432,2022/05/16 12:27:50
16/05/2022,RTX 3080,189432,2022/05/16 13:28:09
16/05/2022,RTX 3080,189432,2022/05/16 19:23:55
16/05/2022,RTX 3080,189432,2022/05/16 20:24:29
16/05/2022,RTX 3080,189432,2022/05/16 21:24:31
16/05/2022,RTX 3080,189432,2022/05/16 22:24:33
16/05/2022,RTX 3080,189432,2022/05/16 23:24:58
17/05/2022,RTX 3080,189832,2022/05/17 00:25:25
17/05/2022,RTX 3080,189832,2022/05/17 01:25:49
17/05/2022,RTX 3080,189832,2022/05/17 02:26:22
17/05/2022,RTX 3080,189832,2022/05/17 03:26:43
17/05/2022,RTX 3080,189832,2022/05/17 04:26:59
17/05/2022,RTX 3080,189832,2022/05/17 05:27:09
17/05/2022,RTX 3080,189832,2022/05/17 06:27:38
17/05/2022,RTX 3080,189832,2022/05/17 07:27:58
17/05/2022,RTX 3080,189832,2022/05/17 08:28:25
17/05/2022,RTX 3080,189832,2022/05/17 09:29:03
17/05/2022,RTX 3080,189832,2022/05/17 10:29:10
17/05/2022,RTX 3080,189832,2022/05/17 11:29:23
17/05/2022,RTX 3080,189832,2022/05/17 12:29:58
