FECHA,ITEM,PRECIO,DATE_TIME
15/05/2022,RTX 3070,142875,2022/05/15 22:17:36
15/05/2022,RTX 3070,142875,2022/05/15 23:17:49
16/05/2022,RTX 3070,142875,2022/05/16 01:26:25
16/05/2022,RTX 3070,142875,2022/05/16 02:26:49
16/05/2022,RTX 3070,142875,2022/05/16 03:26:51
16/05/2022,RTX 3070,142875,2022/05/16 04:26:56
16/05/2022,RTX 3070,142875,2022/05/16 05:26:56
16/05/2022,RTX 3070,142875,2022/05/16 06:27:01
16/05/2022,RTX 3070,142875,2022/05/16 07:27:19
16/05/2022,RTX 3070,142875,2022/05/16 08:27:31
16/05/2022,RTX 3070,142875,2022/05/16 09:27:47
16/05/2022,RTX 3070,142875,2022/05/16 10:28:09
16/05/2022,RTX 3070,142875,2022/05/16 11:28:19
16/05/2022,RTX 3070,139999,2022/05/16 12:28:29
16/05/2022,RTX 3070,139999,2022/05/16 13:28:52
16/05/2022,RTX 3070,139999,2022/05/16 19:24:17
16/05/2022,RTX 3070,139999,2022/05/16 20:24:48
16/05/2022,RTX 3070,144900,2022/05/16 21:24:52
16/05/2022,RTX 3070,144900,2022/05/16 22:25:28
16/05/2022,RTX 3070,144900,2022/05/16 23:25:52
17/05/2022,RTX 3070,144900,2022/05/17 00:26:19
17/05/2022,RTX 3070,144900,2022/05/17 01:26:47
17/05/2022,RTX 3070,144900,2022/05/17 02:27:17
17/05/2022,RTX 3070,144900,2022/05/17 03:27:37
17/05/2022,RTX 3070,144900,2022/05/17 04:27:54
17/05/2022,RTX 3070,144900,2022/05/17 05:28:03
17/05/2022,RTX 3070,144900,2022/05/17 06:28:33
17/05/2022,RTX 3070,144900,2022/05/17 07:28:52
17/05/2022,RTX 3070,144900,2022/05/17 08:29:20
17/05/2022,RTX 3070,144900,2022/05/17 09:29:21
17/05/2022,RTX 3070,144900,2022/05/17 10:29:28
17/05/2022,RTX 3070,144900,2022/05/17 11:29:43
17/05/2022,RTX 3070,144900,2022/05/17 12:30:16
17/05/2022,RTX 3070,144900,2022/05/17 13:30:47
17/05/2022,RTX 3070,144900,2022/05/17 14:30:56
17/05/2022,RTX 3070,144900,2022/05/17 15:30:58
17/05/2022,RTX 3070,140210,2022/05/17 20:22:26
17/05/2022,RTX 3070,140210,2022/05/17 21:22:48
17/05/2022,RTX 3070,140210,2022/05/17 22:23:17
17/05/2022,RTX 3070,140210,2022/05/17 23:23:18
18/05/2022,RTX 3070,140210,2022/05/18 00:23:36
18/05/2022,RTX 3070,140210,2022/05/18 01:23:52
18/05/2022,RTX 3070,140210,2022/05/18 02:24:19
18/05/2022,RTX 3070,140210,2022/05/18 03:24:31
18/05/2022,RTX 3070,140210,2022/05/18 04:24:48
18/05/2022,RTX 3070,140210,2022/05/18 05:24:53
18/05/2022,RTX 3070,140210,2022/05/18 06:25:07
18/05/2022,RTX 3070,140210,2022/05/18 07:25:21
18/05/2022,RTX 3070,140210,2022/05/18 08:25:45
18/05/2022,RTX 3070,140210,2022/05/18 09:25:51
18/05/2022,RTX 3070,140210,2022/05/18 10:25:52
18/05/2022,RTX 3070,140210,2022/05/18 11:25:54
18/05/2022,RTX 3070,140210,2022/05/18 12:26:08
18/05/2022,RTX 3070,140210,2022/05/18 13:26:30
18/05/2022,RTX 3070,140210,2022/05/18 14:26:31
18/05/2022,RTX 3070,140210,2022/05/18 15:27:05
18/05/2022,RTX 3070,140210,2022/05/18 16:27:20
18/05/2022,RTX 3070,140210,2022/05/18 17:35:11
18/05/2022,RTX 3070,140210,2022/05/18 19:00:49
18/05/2022,RTX 3070,140210,2022/05/18 20:43:35
18/05/2022,RTX 3070,140210,2022/05/18 21:56:27
